Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,UCBLinearBandit,TSMultiArmedBandit,TSLinearBandit,PHEMultiArmedBandit,PHELinearBandit
185,25.49001364561296,24.746696642234262,57.55491098335481,6.7575868170480335,63.62893105900397,31.39185795011568,56.01934982736001,6.7575868170480335
186,25.53485890316975,24.873000802883848,57.879694287586176,6.760004613106932,64.00540285512017,31.545638608871553,56.32422181903119,6.760004613106932
187,25.60242362001669,25.02245833457012,58.07524511756278,6.765342813312548,64.29967587433869,31.632084251102356,56.58780164557836,6.765342813312548
188,25.624432574169496,25.09079238861197,58.39650113406342,6.7677606093714475,64.71342718513405,31.737284035565438,56.81651343669999,6.7677606093714475
189,25.641435946988405,25.2472245782752,58.61208468002168,6.770178405430346,64.9934779153515,31.874944105794167,56.99048573193918,6.770178405430346
190,25.77322737534546,25.38214291739045,58.845003728380775,6.775516605635962,65.43792385703674,31.954849129495233,57.2662397311768,6.775516605635962
191,25.946620706286485,25.461958607230308,59.2047478616401,6.7779344016948615,65.83548340221515,32.13527600707284,57.48964412981822,6.7779344016948615
192,25.993584077653175,25.51973740492928,59.434716403562746,6.78035219775376,66.21697134145595,32.20847736477508,57.899945416023264,6.78035219775376
193,26.121584108462127,25.688470445466418,59.69036789924096,6.782769993812659,66.58926764810136,32.25061134662535,58.05827539214711,6.782769993812659
194,26.172508341315,25.789564145141888,59.85825117234924,6.785187789871557,66.93302604409077,32.30720586144828,58.34270611941413,6.785187789871557
195,26.226133737138554,25.88493456040583,60.25278421852433,6.787605585930455,67.22447043217068,32.425406505997636,58.62782211983448,6.787605585930455
196,26.286547384318887,25.967341852131774,60.507088707757056,6.7900233819893545,67.56964847714396,32.48417659760119,58.990336494407835,6.7900233819893545
197,26.377123858205984,26.050972028667076,60.82286001684165,6.792441178048253,67.89733240632418,32.56267237223924,59.272118971321845,6.792441178048253
198,26.523537684272412,26.24498585253272,61.04206742411289,6.794858974107152,68.21018117086842,32.65213898195013,59.6337632697162,6.794858974107152
199,26.59547472439193,26.351482439489665,61.32940861563547,6.79727677016605,68.53480572775857,32.77460151301469,59.860851618307514,6.79727677016605
200,26.746921743321206,26.44118699436337,61.61015934219155,6.799694566224948,68.84182139234694,32.812372506222445,60.0700522895012,6.799694566224948
201,26.777949405437738,26.546855617226708,61.74700746292588,6.805032766430566,69.24083144150828,32.911225018091336,60.292981471783165,6.805032766430566
202,26.799958359590544,26.617176587383405,61.928653072843886,6.807450562489464,69.55273254033916,32.95673444444381,60.62415306203428,6.807450562489464
